Book,Author,Published,Fiction/Nonfiction,Year Read,Rating
"Invent and Wander: The Collected Writings of Jess Bezos, With an Introduction by Walter Isaacson","Jeff Bezos, Walter Isaacson",2020,Non-Fiction,2023,3.5
The Sirens of Titan,Kurt Vonnegut,1959,Fiction,2023,4
Liar's Poker [Liar's Poker #1],Michael Lewis,1989,Non-Fiction,2023,4.5
Daemon [Daemon #1],Daniel Suarez,2006,Fiction,2023,3.25
Surely You're Joking Mr Feynman: Adventures of a Curious Character,Richard P. Feynman,1985,Non-Fiction,2023,4.5
The Big Short: Inside the Doomsday Machine [Liar's Poker #2],Michael Lewis,2009,Non-Fiction,2023,4.5
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Prachett, Neil Gaiman",1990,Fiction,2023,3.75
Down and Out in Paris and London,George Orwell,1933,Non-Fiction,2023,4.25
"Born to Run: A Hidden Tribe, Superathletes, and the Greated Race the World Has Never Seen",Christopher McDougall,2009,Non-Fiction,2022,4.5
The Blind Side: Evolution of a Game,Michael Lewis,2006,Non-Fiction,2022,3.75
American Rascal: How Jay Gould Built Wall Street's Biggest Fortune,Greg Steinmetz,2022,Non-Fiction,2022,3.75
The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,2005,Non-Fiction,2022,4.25
The Outsider [aka The Stranger],Albert Camus,1942,Fiction,2022,3.75
Casino Royale [James Bond #1],Ian Fleming,1966,Fiction,2022,2.75
"A Man for All Markets: From Las Vegas to Wall Street, How I Beat the Dealer and the Market",Edward O. Thorp,2016,Non-Fiction,2022,4.25
Who Moved My Cheese?: An A-Mazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1938,Fiction,2022,3.75
The Picture of Dorian Gray,Oscar Wilde,1890,Fiction,2022,3.5
Logical Chess Move by Move - Every Move Explained,Irving Chernev,1957,Non-Fiction,2022,4
Ikigai: The Japanese Secret to a Long and Happy Life,"Francesc Miralles, Hector Garcia Puigcerver",2016,Non-Fiction,2022,2.75
